id_infraccion,fecha_infraccion,ao_infraccion,mes,categoria,articulo,fraccion,inciso,parrafo,placa,color,marca_general,marca,submarca,en_la_calle,entre_calle,y_calle,colonia,alcaldia,codigo_postal,longitud,latitud
id-4225920181,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,A,PRIMERO,6C3LK,ROJO,OTRA,VENTO,PANTHER,av Luis Hidalgo monroy,matamoros,lomita,AMP BARRIO SAN MIGUEL,Iztapalapa,,NA,NA
id-4225919963,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,7D3ET,NEGRO,OTRA,DINAMO,PISTA,boulevard nuevo leon,Campeche ,cerrada de boulevard ,BARR SANTA CRUZ,Milpa Alta,,NA,NA
id-4225915576,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,58KGF5,ROJO,OTRA,ITALIKA,DESCONOCIDO,Calzada Ignacio Zaragoza ,Calle 23,Boulevard Puerto Aéreo ,Santa Cruz Aviacion,Venustiano Carranza,,NA,NA
id-4225916436,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,5F5MH,BLANCO/NEGRO,OTRA,YAMAHA,DESCONOCIDO,Av.Guelatao ,Camineros,No,CHINAMPAC  DE JUAREZ,Iztapalapa,,NA,NA
id-4225916047,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,6F1WK,BLANCO,OTRA,YAMAHA,DESCONOCIDO,Av. Revolucion,San Carlos,Altavista,TLACOPAC,Álvaro Obregón,,NA,NA
id-4225918461,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,1A7DC,BLANCO/NEGRO,HONDA,HONDA,TRABAJO,AVENIDA SANTA LUCIA ,HIDALGO ,SERENATA ,COLINAS DEL SUR,Álvaro Obregón,,NA,NA
id-4225917891,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,1G2HD,AZUL,OTRA,ITALIKA,DESCONOCIDO,FERROCARRIL DE CINTURA ,PANADEROS ,MINEROS , MORELOS,Venustiano Carranza,,NA,NA
id-4225915163,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,5H4BM,NEGRO,OTRA,VENTO,DESCONOCIDO,Antonio delfin madrigal ,eje 10,av del iman ,PEDREGAL DE SANTO DOMINGO ,Coyoacán,,NA,NA
id-4225918591,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,5475G2,NEGRO,OTRA,HOLDEN,COMMODORE,Av Yucatán ,Everardo González ,xx,AMPL SANTA MARTHA ACATITLA,Iztapalapa,,NA,NA
id-4225916658,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,3856A9,BLANCO/ROJO,OTRA,ITALIKA,DESCONOCIDO,ESTADO DE MÉXICO,MORELOS,TECNOLOGICO,LOMA LA PALMA,Gustavo A. Madero,,NA,NA
id-4225917884,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,9G9PW,AZUL,OTRA,ITALIKA,DESCONOCIDO,eje 10 sur ,Aurora Reza ,papalotl ,PUEBLO DE LOS REYES,Coyoacán,,NA,NA
id-4225917129,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,7G9PL,NEGRO,OTRA,KURAZAI,SCOOTER,REFORMA AGRARIA ,TIERRA Y LIBERTAD ,CUITLÁHUAC ,SAN JOSE,Tláhuac,,NA,NA
id-4225918775,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,5W9JT,VINO,OTRA,ITALIKA,DESCONOCIDO,PERIFERICO ,CALLE 1,EMILIANO ZAPATA ,SAN JOSE DE LA ESCALERA,Gustavo A. Madero,,NA,NA
id-4225916498,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,7970G4,NEGRO/ROJO,OTRA,VENTO,SinValor,AVENIDA LA BRECH,GAVIOTAS ,BARRANCA,TLALPEXCO,Gustavo A. Madero,,NA,NA
id-4225920204,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,8L9WJ,BLANCO,OTRA,VENTO,DESCONOCIDO,Gran Sur ,av. del iman ,----,PEDREGAL DE CARRASCO,Coyoacán,,NA,NA
id-4225919574,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,4B7KK,ROJO,HONDA,HONDA,DESCONOCIDO,paseo de las palmas,montañas calizas,cerro de Maica ,LOMAS DE CHAPULTEPEC 1 SECC,Miguel Hidalgo,,NA,NA
id-4225915118,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,3L9HF,ANARANJADO,HONDA,HONDA,DESCONOCIDO,jarceria,mecanico,mineros, MORELOS,Venustiano Carranza,,NA,NA
id-4225916405,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,A,PRIMERO,9U1FX,NEGRO,OTRA,ITALIKA,SinValor,XOCHIMILCO ,calle 7,calle 6,AGRICOLA   PANTITLAN,Iztacalco,,NA,NA
id-4225914883,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,7F5KM,AZUL,OTRA,VENTO BKM,TRABAJO,Río Churubusco ,estenografos ,fiscales,EL SIFON,Iztapalapa,,NA,NA
id-4225914685,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,LA3964253,AZUL,OTRA,ITALIKA,DESCONOCIDO,campo fortuna nacional,campo Corinto,campo palizada, SAN ANTONIO,Azcapotzalco,,NA,NA
id-4225919765,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,8342C4,GRIS,OTRA,VENTO,SCOOTER,vialidad del 5,eje 5 sur,ENBACES VACIOS ,CENTRAL DE ABASTO,Iztapalapa,,NA,NA
id-4225919475,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,TU3987144,NEGRO/ROJO,OTRA,VENTO,DESCONOCIDO,Ermitaño,Meyuca,Huayatla ,ERMITAÑO,La Magdalena Contreras,,NA,NA
id-4225914852,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,7F5KM,AZUL,OTRA,VENTO BKM,TRABAJO,Río Churubusco ,estenografos ,fiscales,EL SIFON,Iztapalapa,,NA,NA
id-4225919390,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,A,PRIMERO,2L6WR,ROJO,OTRA,ITALIKA,DESCONOCIDO,EJE 1 NORTE,ORIENTE 144,..,MOCTEZUM 2A. SECCION,Venustiano Carranza,,NA,NA
id-4225915637,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,LA3964255,ROJO,OTRA,VELOCI,SinValor,MANUEL BAUCHE,MORELOS,ABRAHAM SÁNCHEZ,SAN PEDRO XALPA,Azcapotzalco,,NA,NA
id-4225921041,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,36DFN2,GRIS,OTRA,VENTO,DESCONOCIDO,PANADEROS ,FERROCARRIL DE CINTURA ,CARPINTERIA , MORELOS,Venustiano Carranza,,NA,NA
id-4225915354,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,0138A5,NEGRO,OTRA,YAMAHA,DESCONOCIDO,AGUSTÍN YAÑEZ,SUR 101 A,SUR 101,ESCUADRÓN 201,Iztapalapa,,NA,NA
id-4225917754,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,2K2NU,ROJO,OTRA,VENTO,DESCONOCIDO,ESTADO DE MÉXICO ,LÓPEZ MATEOS ,TECNOLIGICO,LOMA LA PALMA,Gustavo A. Madero,,NA,NA
id-4225917211,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,3H4GH,ANARANJADO,OTRA,ITALIKA,DESCONOCIDO,Tizimin ,Izamal ,Yucaltepen ,PEDREGAL DE SAN NICOLÁS,Tlalpan,,NA,NA
id-4225916108,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,6F1WK,BLANCO,OTRA,YAMAHA,DESCONOCIDO,Av. Revolucion,San Carlos,Altavista,TLACOPAC,Álvaro Obregón,,NA,NA
id-4225916702,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,A,PRIMERO,9K4PD,AZUL,OTRA,ITALIKA,DESCONOCIDO,Delfín Madrigal ,Dalias,Jecuite ,PEDREGAL DE SANTO DOMINGO ,Coyoacán,,NA,NA
id-4225913916,45046,2023,NA,Incumplir con disposiciones de seguridad,37,II,B,PRIMERO,F06BJY,AZUL,VOLKSWAGEN,VOLKSWAGEN,POLO 5 PUERTAS,Eje 5 Sur,central de abastos ,canal de Río Churubusco ,CENTRAL DE ABASTOS,Iztapalapa,,NA,NA
id-8226001764,45046,2023,NA,Incumplir con disposiciones de seguridad,37,II,B,PRIMERO,1280169,ROJO,NA,DESCONOCIDO,DESCONOCIDO,AV. PASEO DE LA REFORMA,RIO ELBA,RIO RODANO,JUAREZ,Cuauhtémoc,,NA,NA
id-4225917716,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,4E4DF,NEGRO,OTRA,ITALIKA,DESCONOCIDO,reforma agraria,tierra y libertad ,Cuitláhuac ,SAN JOSE,Tláhuac,,NA,NA
id-4225914807,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,7F5KM,AZUL,OTRA,VENTO BKM,TRABAJO,Río Churubusco ,estenografos ,fiscales,EL SIFON,Iztapalapa,,NA,NA
id-4225914302,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,4303E7,NEGRO,HONDA,HONDA,DESCONOCIDO,labradores ,ferrocarril de cintura ,mecánicos, MORELOS,Venustiano Carranza,,NA,NA
id-4225914760,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,7F5KM,AZUL,OTRA,VENTO BKM,TRABAJO,Río Churubusco ,estenografos ,fiscales,EL SIFON,Iztapalapa,,NA,NA
id-4225914814,45046,2023,NA,Incumplir con disposiciones de seguridad,37,III,D,PRIMERO,7F5KM,AZUL,OTRA,VENTO BKM,TRABAJO,Río Churubusco ,estenografos ,fiscales,EL SIFON,Iztapalapa,,NA,NA
id-4225915842,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,PWW534B,BLANCO,OTRA,LINCOLN,MKX AWD,Avenida Santa Fe,Enrique del moral,.,SANTA FE,Cuajimalpa de Morelos,,NA,NA
id-4225919918,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,H64BJH,GRIS,NA,DESCONOCIDO,DESCONOCIDO,periferico,santa. teresa,sn,AMP JARDINES DEL PEDREGAL,Álvaro Obregón,,NA,NA
id-4225915422,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,Z47AXJ,GRIS,TOYOTA,TOYOTA MOTOR MANUFACTURING,HI LUX 2 PUERTAS,Ángel Albino Corzo,Eduardo Molina ,oriente 78 A,GERTRUDIS SÁNCHEZ 3A SECCIÓN,Gustavo A. Madero,,NA,NA
id-4225918096,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,NXS3465,VINO,CHEVROLET,CHEVROLET,CHEVY C2 SEDAN,patriotirsmo,Goya ,.,INSURGENTES MIXCOAC,Benito Juárez,,NA,NA
id-4225916269,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,U76BKU,BLANCO,FORD,FORD,TRANSIT CONNECT USPS,Avenida Isabel La Católica,Lorenzo Boturini ,.,OBRERA,Cuauhtémoc,,NA,NA
id-4225921522,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,Y18AYB,CAFE,NISSAN,NISSAN,TIIDA 1.8 S,Calzada de Tlalpan,espliego ,nezahualpilli,XOTEPINGO,Coyoacán,,NA,NA
id-4225921423,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,Y18AYB,CAFE,NISSAN,NISSAN,TIIDA 1.8 S,Calzada de Tlalpan,espliego ,nezahualpilli,XOTEPINGO,Coyoacán,,NA,NA
id-4225917051,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,L50BFG,GRIS,NISSAN,NISSAN,MARCH,Eje 6 Sur,Uxmal ,.,VÉRTIZ NARVARTE,Benito Juárez,,NA,NA
id-4225917068,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,L50BFG,GRIS,NISSAN,NISSAN,MARCH,Eje 6 Sur,Uxmal ,.,VÉRTIZ NARVARTE,Benito Juárez,,NA,NA
id-4225919123,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,NKC5161,NEGRO,FORD,FORD,ESCAPE AWD,Calzada de Tlalpan,fresno,.,EL RELOJ,Coyoacán,,NA,NA
id-4225915866,45046,2023,NA,Poner en riesgo la integridad de usuarios de la vía,38,II,E,CUARTO,J80BBY,BLANCO,CHEVROLET,CHEVROLET,AVEO,Avenida Patriotismo,calle 3,.,SAN PEDRO DE LOS PINOS,Benito Juárez,,NA,NA
id-4225914128,45046,2023,NA,Incumplir con el equipamiento para circular,43,III,-----,PRIMERO,PDN3453,NEGRO,VOLKSWAGEN,VOLKSWAGEN,VENTO 4 PUERTAS,Avenida Congreso de la Unión,.,.,TRES ESTRELLAS,Gustavo A. Madero,,NA,NA
id-4225914135,45046,2023,NA,Incumplir con el equipamiento para circular,43,III,-----,PRIMERO,PDN3453,NEGRO,VOLKSWAGEN,VOLKSWAGEN,VENTO 4 PUERTAS,Avenida Congreso de la Unión,.,.,TRES ESTRELLAS,Gustavo A. Madero,,NA,NA
id-4225920631,45046,2023,NA,Incumplir con el equipamiento para circular,43,III,-----,PRIMERO,NHU4512,ROJO,SEAT,SEAT,LEON,circuito ,bruselas,sn,DEL CARMEN,Coyoacán,,NA,NA
id-4225918980,45046,2023,NA,Incumplir con el equipamiento para circular,43,VII,-----,SEGUNDO,NFW3284,GRIS PLATA,SEAT,SEAT,IBIZA,paseo de la reforma ,rivera de cupia,reforma 2600,REAL DE LAS LOMAS,Miguel Hidalgo,,NA,NA
id-4225913886,45046,2023,NA,Incumplir con el equipamiento para circular,43,III,-----,PRIMERO,PBP9055,PLATA,KIA,KIA,RIO,Calzada de los Gallos,paseo de jacarandas ,calzada de los gallos,AGRICULTURA,Miguel Hidalgo,,NA,NA
id-4225919413,45046,2023,NA,Incumplir con el equipamiento para circular,43,VII,-----,SEGUNDO,LLR190A,NEGRO,SEAT,SEAT,LEON,Paseo de la Reforma,RIVERA DE CUPIA,CONSTITUYENTES,LOMAS ALTAS,Miguel Hidalgo,,NA,NA
id-4225917099,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,IV3981911,NEGRO,OTRA,DINAMO,SinValor,CUITLÁHUAC ,1 H,NORTE 1 G,GUADALUPE VICTORIA,Gustavo A. Madero,,NA,NA
id-4225921263,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,NYV6417,PLATA,VOLKSWAGEN,VOLKSWAGEN,VENTO 4 PUERTAS,Calzada de Tlalpan,Textitlan,Fresno ,Santa Úrsula Coapa,Coyoacán,,NA,NA
id-4225916733,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,3856A9,BLANCO/ROJO,OTRA,ITALIKA,DESCONOCIDO,ESTADO DE MÉXICO,MORELOS,TECNOLOGICO,LOMA LA PALMA,Gustavo A. Madero,,NA,NA
id-4225913893,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,PBP9055,PLATA,KIA,KIA,RIO,Calzada de los Gallos,paseo de jacarandas ,calzada de los gallos,AGRICULTURA,Miguel Hidalgo,,NA,NA
id-4225919017,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,IV3981817,ROJO,OTRA,VELOCI,SinValor,PERIFERICO ,CALLE 1,EMILIANO ZAPATA ,SAN JOSE DE LA ESCALERA,Gustavo A. Madero,,NA,NA
id-4225920037,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,8H1LT,AZUL CIELO,NA,DESCONOCIDO,DESCONOCIDO,Extremadura,Poussin ,av patriotismo ,INSURGENTES MIXCOAC,Benito Juárez,,NA,NA
id-4225920174,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,8H1LT,AZUL CIELO,NA,DESCONOCIDO,DESCONOCIDO,Extremadura,Poussin ,av patriotismo ,INSURGENTES MIXCOAC,Benito Juárez,,NA,NA
id-4225920655,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,W70ACS,ROJO,CHRYSLER,CHRYSLER,TOWN & COUNTRY,Viaducto Río de la Piedad,calle 57 ,calle 63 ,PUEBLA,Venustiano Carranza,,NA,NA
id-4225920853,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,2J4GU,GRIS,OTRA,ITALIKA,DESCONOCIDO,Avenida Taxqueña,Hidalgo,Ejido,SAN FRANCISCO CULHUACÁN,Coyoacán,,NA,NA
id-4225918294,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,7261F4,GRIS,OTRA,ITALIKA,VS90,constitucion de Apatzingán ,Jose arreces,no,TEPALCATES ,Iztapalapa,,NA,NA
id-4225916450,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,5F5MH,BLANCO/NEGRO,OTRA,YAMAHA,DESCONOCIDO,Av.Guelatao ,Camineros,No,CHINAMPAC  DE JUAREZ,Iztapalapa,,NA,NA
id-4225916085,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,8H1LT,AZUL,NA,DESCONOCIDO,DESCONOCIDO,Extremadura,poussin,patriotismo ,INSURGENTES MIXCOAC,Benito Juárez,,NA,NA
id-4225916535,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,7970G4,NEGRO/ROJO,OTRA,VENTO,SinValor,AVENIDA LA BRECH,GAVIOTAS ,BARRANCA,TLALPEXCO,Gustavo A. Madero,,NA,NA
id-4225916771,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,3856A9,BLANCO/ROJO,OTRA,ITALIKA,DESCONOCIDO,ESTADO DE MÉXICO,MORELOS,TECNOLOGICO,LOMA LA PALMA,Gustavo A. Madero,,NA,NA
id-4225917181,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,7G9PL,NEGRO,OTRA,KURAZAI,SCOOTER,REFORMA AGRARIA ,TIERRAE Y LIBERTAD ,CUITLÁHUAC ,SAN JOSE,Tláhuac,,NA,NA
id-4225915477,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,RBM908A,VERDE,CHRYSLER,FIAT,DESCONOCIDO,Calle Oriente 95,oye 95,Eduardo Molina ,NUEVA TENOCHTITLÁN,Gustavo A. Madero,,NA,NA
id-4225921362,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,170XKH,CREMA,CHRYSLER,JEEP,DESCONOCIDO,Diagonal San Antonio,albein,mitla,NARVARTE ORIENTE,Benito Juárez,,NA,NA
id-4225915446,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,HDJ376A,GRIS,CHEVROLET,CHEVROLET,ASTRA,Metrobus 1,Chihuahua ,Yucatán ,ROMA NORTE,Cuauhtémoc,,NA,NA
id-4225914258,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,G31VE,NEGRO,OTRA,ITALIKA,DESCONOCIDO,Calle 12,Calle 17,Calle 19,PROHOGAR,Azcapotzalco,,NA,NA
id-4225921447,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,48RB1D,VERDE,VOLVO,VOLVO,DESCONOCIDO,Viaducto Presidente Miguel Alemán,Ohio ,Dakota ,ESCANDÓN I SECCIÓN,Miguel Hidalgo,,NA,NA
id-4225918393,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,VE3990103,AZUL,OTRA,ITALIKA,DESCONOCIDO,Berriozábal ,Nicolas Bravo Vidal Alcocer,Vidal Alcocer,ZONA CENTRO,Venustiano Carranza,,NA,NA
id-4225918645,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,IV3981915,NEGRO,OTRA,HERO,TURISMO,EDUARDO MOLINA ,ORIENTE 157 ,ORIENTE 159,SALVADOR DIAS MIRON,Gustavo A. Madero,,NA,NA
id-4225919086,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,PEU6739,ROJO METALICO,MAZDA,MAZDA,CX-5,Cuahutemoc ,ángel urraza ,universidad ,NARVARTE PONIENTE,Benito Juárez,,NA,NA
id-4225914326,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,4303E7,NEGRO,HONDA,HONDA,DESCONOCIDO,labradores ,ferrocarril de cintura ,mecánicos, MORELOS,Venustiano Carranza,,NA,NA
id-4225920846,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,C78AMG,GRIS,VOLKSWAGEN,VOLKSWAGEN,GOL 4 PUERTAS,casa del obrero mundial ,providencia ,Adolfo Prieto ,COL DEL VALLE CENTRO,Benito Juárez,,NA,NA
id-4225920389,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,4M4CT,ROJO,OTRA,VENTO,PISTA,JESÚS DEL MONTE ,CASTORENA ,CERRADA LÓPEZ MATEOS ,CUAJIMALPA ,Cuajimalpa de Morelos,,NA,NA
id-4225916894,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,3856A9,BLANCO/ROJO,OTRA,ITALIKA,DESCONOCIDO,ESTADO DE MÉXICO,MORELOS,TECNOLOGICO,LOMA LA PALMA,Gustavo A. Madero,,NA,NA
id-4225916573,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,PZJ711D,BLANCO,GMC,GMC,YUKON DENALI 1500 AWD,Avenida Tamaulipas,prolongación paseo de la reforma ,avenida santa fe ,CONTADERO,Cuajimalpa de Morelos,,NA,NA
id-4225921065,45046,2023,NA,No tener licencia o permiso,44,I,B,PRIMERO,736SAL,AZUL,CHEVROLET,CHEVROLET,CAVALIER,Diagonal San Antonio,mitla,monte alban,NARVARTE ORIENTE,Benito Juárez,,NA,NA
id-4225915187,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,SF3975551,AZUL,OTRA,ITALIKA,DESCONOCIDO,PUERTO MEXICO ,OCAMPO ,MORELOS ,ZENTLAPATL,Cuajimalpa de Morelos,,NA,NA
id-4225918041,45046,2023,NA,Documentación incompleta,45,IV,-----,PRIMERO,7L3EG,ROJO,OTRA,VELOCI,TRABAJO,casas aleman ,tlapalam,San Jerónimo ,PBLO SANTA ANA TLACOTENCO,Milpa Alta,,NA,NA
id-4225918485,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,SA3971868,AZUL,OTRA,ITALIKA,DESCONOCIDO,Manuel Cañas,Bugambilias ,No, DESARROLLO URBANO QUETZALCOATL ,Iztapalapa,,NA,NA
id-4225917266,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,374WRM,ROJO,OTRA,PORSCHE,DESCONOCIDO,Paseo de la Reforma,constituyentes,rivera de cupia ,LOMAS ALTAS,Miguel Hidalgo,,NA,NA
id-4225915538,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,TR3987690,NEGRO/ROJO,OTRA,ITALIKA,DESCONOCIDO,Eje 3,Recreo,Reyes,BARRIO LOS REYES,Iztacalco,,NA,NA
id-4225918829,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,W57RN,BLANCO,OTRA,ITALIKA,DESCONOCIDO,eje central ,salvador ,Uruguay ,CENTRO ,Cuauhtémoc,,NA,NA
id-4225921355,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,PI3981346,BLANCO METALICO,OTRA,YAMAHA,DESCONOCIDO,periferico,alfa ,omega,CASA BLANCA,Iztapalapa,,NA,NA
id-4225918409,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,SA3985187,NEGRO,OTRA,ITALIKA,DESCONOCIDO,periférico ,San isidro,tecamachalco,REFORMA SOCIAL,Miguel Hidalgo,,NA,NA
id-4225917235,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,IV3981912,GRIS,OTRA,BAJAJ,SinValor,ESTADO DE MÉXICO ,TECNOLOGICO ,ADOLFO LÓPEZ MATEOS ,CHALMA DE GUADALUPE,Gustavo A. Madero,,NA,NA
id-4225917938,45046,2023,NA,Documentación incompleta,45,IV,-----,PRIMERO,2881A8,VINO,OTRA,VENTO,DESCONOCIDO,Sauces ,Ahuhuetes,Jacarandas ,PASTEROS,Azcapotzalco,,NA,NA
id-4225918683,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,FR3984079,BLANCO,OTRA,ITALIKA,DESCONOCIDO,gounod,Ernesto ELORDUY ,eje central,EXHIPODROMO DE PERALBILLO,Cuauhtémoc,,NA,NA
id-4225917013,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,LV3980504,ROSA,OTRA,VENTO,SinValor,eje central ,correspondencia ,correspondencia ,POSTAL,Benito Juárez,,NA,NA
id-4225918454,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,LV3980509,NEGRO/ROJO,OTRA,ITALIKA,DESCONOCIDO,municipio libre ,las torres,desconcido ,AMPLIACIÓN SINATEL,Iztapalapa,,NA,NA
id-4225913633,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,ZA3988811,NEGRO,OTRA,ITALIKA,DESCONOCIDO,peluqueros ,Eduardo Molina ,huichapan,MICHOACANA,Venustiano Carranza,,NA,NA
id-4225915088,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,AN3976423,ROSA,HONDA,HONDA,DESCONOCIDO,mecanicos,ferrocarril de cintura,mineros, MORELOS,Venustiano Carranza,,NA,NA
id-4225921249,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,NYV6417,PLATA,VOLKSWAGEN,VOLKSWAGEN,VENTO 4 PUERTAS,Calzada de Tlalpan,Textitlan,Fresno ,Santa Úrsula Coapa,Coyoacán,,NA,NA
id-4225916627,45046,2023,NA,Documentación incompleta,45,IV,-----,PRIMERO,9S8DU,NEGRO,OTRA,BAJAJ,SinValor,XOCHIMILCO ,calle6,calle 7,AGRICOLA PANTITLAN ,Iztacalco,,NA,NA
id-4225918331,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,LV3980508,NEGRO,OTRA,HERO,DOBLE PROPOSITO,municipio libre ,Andrés Molina enriquez ,desconcido ,AMPLIACIÓN SINATEL,Iztapalapa,,NA,NA
id-4225915026,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,AN3976422,BLANCO,OTRA,BAJAJ,SinValor,jarceria,panaderos,peluqueria, MORELOS,Venustiano Carranza,,NA,NA
id-4225914715,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,TR3987684,VINO,OTRA,ITALIKA,DESCONOCIDO,Valentín Gómez farias,Francisco del paso y troncoso,Valentín Gómez farias, CAMPAMENTO 2 DE OCTUBRE,Iztacalco,,NA,NA
id-4225915804,45046,2023,NA,Documentación incompleta,45,IV,-----,PRIMERO,5H2MT,AZUL,OTRA,DINAMO,SCOOTER,boulevard puerto aereo,Ignacio Zaragoza,avenida 4,COL. IGNACIO ZARAGOZA,Venustiano Carranza,,NA,NA
id-4225917112,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,PI3981341,AZUL,OTRA,ITALIKA,TRABAJO,bilbao,Montes cipreses,..,SAN JUAN XALPA,Iztapalapa,,NA,NA
id-4225919826,45046,2023,NA,Documentación incompleta,45,I,A,PRIMERO,ZA3988834,NEGRO,OTRA,ITALIKA,DESCONOCIDO,Av 508,av 529,AV 531,1 SECCION DE SAN JUAN DE ARAGN,Gustavo A. Madero,,NA,NA
